iter	Passed	Remaining
1372	8573	3915
1373	8578	3908
1374	8583	3901
1375	8588	3894
1376	8594	3888
1377	8599	3881
1378	8605	3875
1379	8610	3868
1380	8616	3861
1381	8623	3856
1382	8630	3850
1383	8634	3843
1384	8640	3836
1385	8644	3829
1386	8649	3822
1387	8655	3816
1388	8660	3809
1389	8664	3802
1390	8672	3796
1391	8677	3790
1392	8682	3783
1393	8689	3777
1394	8694	3770
1395	8699	3763
1396	8704	3757
1397	8710	3750
1398	8714	3743
1399	8721	3737
1400	8726	3731
1401	8732	3724
1402	8740	3719
1403	8745	3712
1404	8751	3706
1405	8756	3699
1406	8761	3692
1407	8767	3686
1408	8773	3679
1409	8778	3673
1410	8786	3667
1411	8791	3660
1412	8796	3654
1413	8802	3648
1414	8808	3641
1415	8813	3635
1416	8818	3628
1417	8823	3621
1418	8829	3614
1419	8834	3608
1420	8839	3601
1421	8845	3595
1422	8852	3589
1423	8857	3582
1424	8864	3576
1425	8869	3570
1426	8874	3563
1427	8879	3556
1428	8884	3550
1429	8889	3543
1430	8896	3537
1431	8901	3530
1432	8906	3524
1433	8913	3518
1434	8918	3511
1435	8923	3504
1436	8929	3498
1437	8934	3491
1438	8939	3484
1439	8945	3478
1440	8951	3472
1441	8955	3465
1442	8964	3460
1443	8969	3453
1444	8974	3447
1445	8980	3440
1446	8984	3433
1447	8989	3427
1448	8995	3420
1449	9000	3413
1450	9005	3407
1451	9012	3401
1452	9017	3394
1453	9022	3388
1454	9028	3381
1455	9033	3374
1456	9039	3368
1457	9044	3362
1458	9049	3355
1459	9054	3348
1460	9060	3342
1461	9064	3335
1462	9074	3330
1463	9079	3324
1464	9084	3317
1465	9090	3311
1466	9095	3304
1467	9099	3297
1468	9105	3291
1469	9110	3284
1470	9115	3277
1471	9122	3272
1472	9127	3265
1473	9131	3258
1474	9137	3252
1475	9142	3245
1476	9146	3238
1477	9151	3232
1478	9157	3225
1479	9162	3219
1480	9168	3212
1481	9173	3206
1482	9178	3199
1483	9184	3193
1484	9190	3187
1485	9196	3180
1486	9205	3175
1487	9210	3169
1488	9216	3162
1489	9222	3156
1490	9227	3150
1491	9233	3143
1492	9238	3137
1493	9243	3130
1494	9250	3124
1495	9255	3118
1496	9261	3111
1497	9269	3106
1498	9274	3099
1499	9279	3093
1500	9285	3086
1501	9290	3080
1502	9295	3073
1503	9302	3067
1504	9307	3061
1505	9311	3054
1506	9322	3049
1507	9327	3043
1508	9332	3036
1509	9338	3030
1510	9343	3023
1511	9348	3017
1512	9353	3010
1513	9359	3004
1514	9368	2999
1515	9373	2992
1516	9380	2986
1517	9385	2980
1518	9390	2973
1519	9396	2967
1520	9400	2960
1521	9405	2953
1522	9411	2947
1523	9416	2941
1524	9421	2934
1525	9429	2929
1526	9434	2922
1527	9439	2915
1528	9445	2909
1529	9450	2902
1530	9454	2896
1531	9460	2890
1532	9465	2883
1533	9470	2876
1534	9476	2870
1535	9482	2864
1536	9486	2857
1537	9493	2851
1538	9498	2845
1539	9503	2838
1540	9509	2832
1541	9513	2825
1542	9518	2819
1543	9524	2812
1544	9529	2806
1545	9534	2799
1546	9542	2794
1547	9548	2787
1548	9553	2781
1549	9558	2775
1550	9563	2768
1551	9567	2761
1552	9573	2755
1553	9578	2749
1554	9583	2742
1555	9589	2736
1556	9595	2730
1557	9600	2723
1558	9606	2717
1559	9611	2711
1560	9616	2704
1561	9621	2697
1562	9626	2691
1563	9630	2684
1564	9635	2678
1565	9641	2671
1566	9645	2665
1567	9650	2658
1568	9657	2652
1569	9662	2646
1570	9666	2639
1571	9671	2633
1572	9676	2626
1573	9681	2620
1574	9686	2613
1575	9691	2607
1576	9696	2600
1577	9704	2595
1578	9709	2588
1579	9713	2582
1580	9721	2576
1581	9725	2569
1582	9730	2563
1583	9737	2557
1584	9741	2550
1585	9746	2544
1586	9753	2538
